time,mag,lat,lon,depth,place
2006-05-03 15:26,8.0,-20.187,-174.123,55.0,2006 Tonga Earthquake
2006-04-20 23:25,7.6,60.949,167.089,22.0,"80 km NE of Tilichiki, Russia"
2006-02-22 22:19,7.0,-21.324,33.583,11.0,"160 km SE of Chipinge, Zimbabwe"
2006-01-27 16:58,7.6,-5.473,128.131,397.0,"196 km S of Ambon, Indonesia"
2006-01-02 22:13,7.2,-19.926,-178.178,582.9,Fiji region
2006-01-02 06:10,7.4,-60.957,-21.606,13.0,east of the South Sandwich Islands
2005-11-14 21:38,7.0,38.107,144.896,11.0,"293 km ESE of Kamaishi, Japan"
2005-10-08 03:50,7.6,34.539,73.588,26.0,"21 km NNE of Muzaffar?b?d, Pakistan"
2005-09-26 01:55,7.5,-5.678,-76.398,115.0,"39 km NW of Yurimaguas, Peru"
2005-09-09 07:26,7.6,-4.539,153.474,90.0,"135 km E of Kokopo, Papua New Guinea"
2005-08-16 02:46,7.2,38.276,142.039,36.0,"66 km ESE of Ishinomaki, Japan"
2005-07-24 15:42,7.2,7.92,92.19,16.0,"Nicobar Islands, India region"
2005-06-15 02:50,7.2,41.292,-125.953,16.0,"153 km W of Big Lagoon, California"
2005-06-13 22:44,7.8,-19.987,-69.197,115.6,"102 km ENE of Iquique, Chile"
2005-03-28 16:09,8.6,2.085,97.108,30.0,"78 km WSW of Singkil, Indonesia"
2005-03-02 10:42,7.1,-6.527,129.933,201.7,Banda Sea
2005-02-05 12:23,7.1,5.293,123.337,525.0,"138 km SW of Palimbang, Philippines"
2004-12-26 04:21,7.2,6.91,92.958,39.2,"284 km WNW of Sabang, Indonesia"
2004-12-26 00:58,9.1,3.295,95.982,30.0,2004 Sumatra - Andaman Islands Earthquake
2004-12-23 14:59,8.1,-49.312,161.345,10.0,2004 Tasman Sea Earthquake
2004-11-28 18:32,7.0,43.006,145.119,39.0,"51 km SW of Nemuro, Japan"
2004-11-26 02:25,7.1,-3.609,135.404,10.0,"29 km SSW of Nabire, Indonesia"
2004-11-22 20:26,7.1,-46.676,164.721,10.0,"255 km W of Riverton, New Zealand"
2004-11-15 09:06,7.2,4.695,-77.508,15.0,"32 km SSW of Pizarro, Colombia"
2004-11-11 21:26,7.5,-8.152,124.868,10.0,"63 km NW of Maubara, Timor Leste"
2004-10-09 21:26,7.0,11.422,-86.665,35.0,"43 km SSW of Masachapa, Nicaragua"
2004-09-05 14:57,7.4,33.184,137.071,10.0,"118 km ESE of Shing?, Japan"
2004-09-05 10:07,7.2,33.07,136.618,14.0,"94 km SE of Shing?, Japan"
2004-07-25 14:35,7.3,-2.427,103.981,582.1,"100 km SSE of Jambi City, Indonesia"
2004-07-15 04:27,7.1,-17.656,-178.76,565.5,"208 km ENE of Levuka, Fiji"
2004-02-07 02:42,7.3,-4.003,135.023,10.0,"Near the south coast of Papua, Indonesia"
