time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-05-12T15:15:45.800Z,31.052,103.671,10,4.8,mb,12,165.1,,0.8,us,usp000g6b5,2014-11-07T01:35:58.857Z,"26 km WNW of Tianpeng, China",earthquake,,,,1,reviewed,us,us
2008-05-12T15:08:59.660Z,31.952,104.575,10,5.1,mb,14,129.7,,0.64,us,usp000g6b3,2014-11-07T01:35:58.853Z,"24 km NNW of Jiangyou, China",earthquake,,,,1,reviewed,us,us
2008-05-12T15:05:31.260Z,31.243,103.692,17.4,5,mb,150,32.3,,0.73,us,usp000g6b2,2022-05-02T19:45:53.659Z,"36 km NW of Tianpeng, China",earthquake,,,,96,reviewed,us,us
2008-05-12T15:04:50.100Z,31.783,104.077,10,4.2,mb,8,172.7,,0.66,us,usp000g6b1,2014-11-07T01:35:58.839Z,"60 km W of Jiangyou, China",earthquake,,,,1,reviewed,us,us
2008-05-12T14:55:28.470Z,31.777,104.98,10,4.2,mb,11,113.5,,1.33,us,usp000g6az,2014-11-07T01:35:58.836Z,"24 km E of Jiangyou, China",earthquake,,,,2,reviewed,us,us
2008-05-12T14:46:07.740Z,32.733,105.616,10,5.1,mb,149,42.3,,0.73,us,usp000g6ax,2022-05-02T19:39:36.650Z,"37 km NNW of Guangyuan, China",earthquake,,,,92,reviewed,us,us
2008-05-12T14:41:35.510Z,31.278,103.362,10,4.5,mb,13,128.8,,1.01,us,usp000g6aw,2014-11-07T01:35:58.820Z,"63 km WNW of Tianpeng, China",earthquake,,,,3,reviewed,us,us
2008-05-12T14:40:24.970Z,32.918,105.273,25.3,4.5,mb,18,159.3,,0.7,us,usp000g6av,2014-11-07T01:35:58.819Z,"73 km NW of Guangyuan, China",earthquake,,42.7,,3,reviewed,us,us
2008-05-12T14:38:49.760Z,31.751,104.101,10,4.7,mb,19,101.7,,1.34,us,usp000g6au,2014-11-07T01:35:58.817Z,"58 km W of Jiangyou, China",earthquake,,,,3,reviewed,us,us
2008-05-12T14:37:48.250Z,30.93,103.539,10,4,mb,14,128.8,,0.92,us,usp000g6at,2014-11-07T01:35:58.815Z,"38 km W of Tianpeng, China",earthquake,,,,1,reviewed,us,us
2008-05-12T14:33:43.660Z,32.066,105.074,10,4.3,mb,12,130,,0.68,us,usp000g6as,2014-11-07T01:35:58.813Z,"47 km NE of Jiangyou, China",earthquake,,,,1,reviewed,us,us
2008-05-12T14:26:15.140Z,31.424,103.954,10,4.3,mb,10,170.1,,0.31,us,usp000g6an,2014-11-07T01:35:58.808Z,"48 km N of Tianpeng, China",earthquake,,,,1,reviewed,us,us
2008-05-12T14:23:38.790Z,31.399,103.916,10,4.1,mb,17,126.9,,1.16,us,usp000g6am,2014-11-07T01:35:58.806Z,"45 km N of Tianpeng, China",earthquake,,,,2,reviewed,us,us
2008-05-12T14:15:27.380Z,32.12,104.65,18.3,5,mb,129,53.7,,0.75,us,usp000g6aj,2014-11-07T01:35:58.776Z,"39 km N of Jiangyou, China",earthquake,,,,57,reviewed,us,us
2008-05-12T14:10:22.650Z,31.193,103.646,10,4.6,mb,51,69.6,,0.71,us,usp000g6ah,2014-11-07T01:35:58.701Z,"36 km NW of Tianpeng, China",earthquake,,,,20,reviewed,us,us
2008-05-12T14:09:47.060Z,32.052,104.068,10,4.3,mb,15,129.4,,0.89,us,usp000g6ag,2014-11-07T01:35:58.699Z,"69 km WNW of Jiangyou, China",earthquake,,,,2,reviewed,us,us
2008-05-12T14:09:40.130Z,32.25,104.068,10,4.6,mb,6,168.3,,0.3,us,usp000g6af,2014-11-07T01:35:58.698Z,"81 km NW of Jiangyou, China",earthquake,,,,1,reviewed,us,us
